id,question_text,year,subject,exam_type,keywords,options,correct_answer,explanation,created_at,updated_at,question_type,marks,user_id,is_database_question
,,,,,,,,,,,,,,
,Underline the changes in the field of society and economy from the Rig Vedic to the later Vedic period. (Answer in 150 words),2024,GS1,Mains,"Rig Vedic period, Later Vedic period, Social changes, Economic changes, Indian History",,,,,,Descriptive,10,6adfdbc9-1db6-4b57-8b3a-e0a64edf206c,TRUE
,Estimate the contribution of Pallavas of Kanchi for the development of art and literature of South India. (Answer in 150 words),2024,GS1,Mains,"South India, Pallavas of Kanchi, Art, Literature, Indian History",,,,,,Descriptive,10,6adfdbc9-1db6-4b57-8b3a-e0a64edf206c,TRUE
, What were the events that led to the Quit India Movement? Point out its results. (Answer in 150 words),2024,GS1,Mains,"Quit India Movement, Indian History, Modern History, National Movement",,,,,,Descriptive,10,6adfdbc9-1db6-4b57-8b3a-e0a64edf206c,TRUE
, What is sea surface temperature rise? How does it affect the formation of tropical cyclones? (Answer in 150 words),2024,GS1,Mains,"Sea surface temperature, Tropical cyclones, Climate Change, Geography",,,,,,Descriptive,10,6adfdbc9-1db6-4b57-8b3a-e0a64edf206c,TRUE
,Why do large cities tend to attract more migrants than smaller towns? Discuss in the light of conditions in developing countries. (Answer in 150 words),2024,GS1,Mains,"Migration, Urbanization, Developing Countries, Sociology, Geography",,,,,,Descriptive,10,6adfdbc9-1db6-4b57-8b3a-e0a64edf206c,TRUE
,What is the phenomenon of 'cloudbursts'? Explain. (Answer in 150 words),2024,GS1,Mains,"Cloudburst, Geography, Environment",,,,,,Descriptive,10,6adfdbc9-1db6-4b57-8b3a-e0a64edf206c,TRUE
, What is the concept of a 'demographic winter'? Is the world moving towards such a situation? Elaborate. (Answer in 150 words),2024,GS1,Mains,"Demographic winter, Population, Demography, Social Issues",,,,,,Descriptive,10,6adfdbc9-1db6-4b57-8b3a-e0a64edf206c,TRUE
,"Distinguish between gender equality, gender equity and women's empowerment. Why is it important to take gender concerns into account in programme design and implementation? (Answer in 150 words)",2024,GS1,Mains,"Gender equality, Gender equity, Women's empowerment, Social Justice, Polity",,,,,,Descriptive,10,6adfdbc9-1db6-4b57-8b3a-e0a64edf206c,TRUE
,"Intercaste marriages between castes which have socio-economic parity have increased, to some extent, but this is less true of interreligious marriages. Discuss. (Answer in 150 words)",2024,GS1,Mains,"Intercaste marriage, Interreligious marriage, Social Issues, Indian Society",,,,,,Descriptive,10,6adfdbc9-1db6-4b57-8b3a-e0a64edf206c,TRUE
,"In dealing with socio-economic issues of development, what kind of collaboration between government, NGOs and private sector would be most productive? (Answer in 150 words)",2024,GS1,Mains,"Government, NGOs, Private Sector, Socio-economic development, Governance",,,,,,Descriptive,10,6adfdbc9-1db6-4b57-8b3a-e0a64edf206c,TRUE
